6.001180245308460393e+00	5.083026894839129994e+01	1.000000000000000000e+00	5.518866510712715012e+01	1.000000000000000000e+00	1.000000000000000000e+00
8.000503357594276110e+00	1.045250216769511127e+02	1.000000000000000000e+00	1.056492240745807436e+02	1.000000000000000000e+00	1.000000000000000000e+00
1.000018926298956501e+01	1.586177699592660133e+02	1.000000000000000000e+00	1.565435487876489447e+02	1.000000000000000000e+00	1.000000000000000000e+00
1.199987114475047001e+01	2.073511244086338081e+02	9.626375786013524616e-01	2.022081451054541219e+02	9.755085537897185688e-01	5.990936873888466074e-01
1.399999999999999822e+01	2.485367082012143385e+02	8.173230450440882588e-01	2.404210428887170110e+02	8.441105776670677630e-01	4.331232668530790586e-01
1.599999999999999822e+01	2.817842119049420830e+02	6.866024065978127977e-01	2.707306621551467742e+02	7.068354667409777470e-01	3.398854708350448339e-01
1.800001561422148910e+01	3.130568244218974883e+02	5.970972817677425715e-01	2.987690766810653713e+02	6.075374287274482032e-01	2.832808391015154137e-01
2.000004646716568857e+01	3.468949443657627398e+02	5.286860267668740399e-01	3.289138494994984399e+02	5.433724559445006763e-01	2.392001597588944983e-01
2.200012951533165761e+01	3.840012172176576541e+02	4.868390443244873245e-01	3.618237486427644285e+02	5.054977914681529905e-01	2.101684161499891568e-01
2.400019477678189972e+01	4.241465381038021860e+02	4.649841675237924576e-01	3.973053813207563394e+02	4.594729605951405338e-01	1.844867074673403051e-01
2.600017250338288832e+01	4.672931527151056343e+02	4.318691738861526463e-01	4.353823171430827870e+02	4.303247059142267239e-01	1.632041771800319396e-01
2.800030393522834160e+01	5.139481670547670547e+02	4.117359813644397848e-01	4.766226560724449541e+02	4.137420064293253485e-01	1.496658683921268107e-01
3.000039363678290982e+01	5.648521951509783321e+02	3.903052202312692898e-01	5.218107165590879504e+02	3.832876038126574736e-01	1.359288403483273067e-01
3.200046268109208114e+01	6.211117847835203065e+02	3.683405973476481798e-01	5.720693831825595908e+02	3.642088438420533758e-01	1.244917217962572403e-01
3.400045129922347797e+01	6.839569657162991234e+02	3.553723016966051085e-01	6.286007227300260638e+02	3.413496767435245660e-01	1.174467356876573443e-01
3.600061377533765494e+01	7.547668670223660001e+02	3.396103360030951479e-01	6.928827432247486513e+02	3.164660784308642172e-01	1.071688587798967779e-01
3.800064985593461842e+01	8.348025882036527037e+02	3.213334009528028279e-01	7.660498896470580803e+02	3.019285159590806566e-01	1.008368274753967953e-01
4.000071334371946818e+01	9.255123779720963739e+02	3.010658596698267409e-01	8.495764080542029433e+02	2.735976699270488144e-01	9.361305691539623108e-02
4.200081685868234871e+01	1.028298552341457253e+03	2.793459779714474456e-01	9.448292959125591324e+02	2.545230197313034792e-01	8.843998176134849898e-02
4.400091913700502033e+01	1.144560662760406785e+03	2.659780247065291481e-01	1.053194580180001367e+03	2.433073948172294609e-01	8.418054873449393183e-02
4.600092848810751178e+01	1.275702639912592758e+03	2.509778120854406214e-01	1.175981709391678351e+03	2.226725946809664514e-01	7.999647754262755039e-02
4.800106965435497841e+01	1.423261457915611572e+03	2.348785468002529686e-01	1.314893188140097436e+03	2.011451260001985430e-01	7.624304703895289081e-02
5.000115255716794849e+01	1.588762006366788000e+03	2.180751606359307426e-01	1.471230503865616129e+03	1.870907355545215200e-01	7.279124216396616609e-02
5.200122363647787438e+01	1.773727959181434926e+03	2.080777424343542015e-01	1.646566728220579535e+03	1.725700043611559376e-01	6.885730152426819406e-02
5.400127750701781792e+01	1.979801095344361556e+03	1.897318425084958682e-01	1.842494920149247946e+03	1.578965859360407231e-01	6.591284329161889444e-02
5.600139186376050304e+01	2.208722628320948388e+03	1.785882234354834452e-01	2.060778371713166052e+03	1.491048907833103510e-01	6.338552267991534594e-02
5.800146788023780431e+01	2.462091488481583838e+03	1.669801160250426741e-01	2.302924014013351552e+03	1.344241732837599401e-01	6.090660487701077958e-02
6.000155008926202527e+01	2.741714293686182373e+03	1.600750633290428104e-01	2.570779636305704571e+03	1.246432839968838607e-01	5.795713153716553628e-02
6.200163435040213500e+01	3.049475673713879132e+03	1.473441268292223216e-01	2.866153633498470754e+03	1.152295529650927686e-01	5.583995146141829125e-02
6.400170013363785415e+01	3.387169381720578713e+03	1.400453477808320801e-01	3.190828993959521085e+03	1.057832887917765224e-01	5.396091879293599125e-02
6.600179554854427977e+01	3.756838477750065977e+03	1.318919066674166807e-01	3.546833101380455446e+03	1.000138517689469209e-01	5.298061045908318556e-02
6.800186934813868334e+01	4.160410882497214516e+03	1.234985851765919296e-01	3.936020737819466831e+03	9.020849191490337704e-02	5.117955238955047836e-02
7.000194544022546950e+01	4.599973221706944059e+03	1.189883981151901027e-01	4.360481246549525167e+03	8.450067262810440072e-02	4.900876943206635555e-02
7.200203901733837597e+01	5.077672867175163447e+03	1.102074249216363905e-01	4.822381226684904505e+03	7.830435090642681728e-02	4.813784904921726560e-02
7.400210376159232339e+01	5.595608434918965031e+03	1.050152557606092996e-01	5.323717908389489821e+03	7.507480184765739917e-02	4.613448958973265929e-02
7.600220107257814561e+01	6.156145633573627492e+03	9.953054910728757754e-02	5.866868104298301660e+03	6.893189764416639276e-02	4.482482459277529335e-02
7.800226560924348007e+01	6.761465093322060966e+03	9.412102028466283465e-02	6.453924642577630038e+03	6.547838879013243019e-02	4.357365120254261953e-02
