# r	scaleHeight
6.000000000000000000e+00	3.161549306233497802e+06	6.879645239274609594e+02
6.500000000000000000e+00	2.389090423042031936e+06	5.861946239381917394e+02
7.000000000000000000e+00	1.843258289016661234e+06	5.054433237018081968e+02
7.500000000000000000e+00	1.447821140573266661e+06	4.402972953135751482e+02
8.000000000000000000e+00	1.155086162373632891e+06	3.869800447091969318e+02
8.500000000000000000e+00	9.342499765578630613e+05	3.427920119223335860e+02
9.000000000000000000e+00	7.648575404367632000e+05	3.057620106344271562e+02
9.500000000000000000e+00	6.329898076703194529e+05	2.744235220098460104e+02
1.000000000000000000e+01	5.289679214462572709e+05	2.476672286138859533e+02
1.050000000000000000e+01	4.459301009626056184e+05	2.246414772008036209e+02
1.100000000000000000e+01	3.789264643200658611e+05	2.046836600114760643e+02
1.150000000000000000e+01	3.243298299686163664e+05	1.872720065133352989e+02
1.200000000000000000e+01	2.794441191866663867e+05	1.719911309818652398e+02
1.250000000000000000e+01	2.422391255594188988e+05	1.585070263128870067e+02
1.300000000000000000e+01	2.111677548751072900e+05	1.465486559845479348e+02
1.350000000000000000e+01	1.850380938261947013e+05	1.358942269486342980e+02
1.400000000000000000e+01	1.629225544552493084e+05	1.263608309254520492e+02
1.450000000000000000e+01	1.440924838697440864e+05	1.177965415523833599e+02
1.500000000000000000e+01	1.279705183055748348e+05	1.100743238283937870e+02
1.550000000000000000e+01	1.140954674566177709e+05	1.030872959891304816e+02
1.600000000000000000e+01	1.020961572836426640e+05	9.674501117729923294e+01
1.650000000000000000e+01	9.167175186381206731e+04	9.097051556065599698e+01
1.700000000000000000e+01	8.257681171842974436e+04	8.569800298058339649e+01
1.750000000000000000e+01	7.460984971875298652e+04	8.087093179228929785e+01
1.800000000000000000e+01	6.760449418556240562e+04	7.644050265860678905e+01
1.850000000000000000e+01	6.142261275199606462e+04	7.236442034006896051e+01
1.900000000000000000e+01	5.594892317820642347e+04	6.860588050246150260e+01
1.950000000000000000e+01	5.108674069858050643e+04	6.513273599313241391e+01
2.000000000000000000e+01	4.675460053560019151e+04	6.191680715347148833e+01
2.050000000000000000e+01	4.288355906946544565e+04	5.893330841496393901e+01
2.100000000000000000e+01	3.941502479073252471e+04	5.616036930020090523e+01
2.150000000000000000e+01	3.629900543980373914e+04	5.357863247461028777e+01
2.200000000000000000e+01	3.349268406147012138e+04	5.117091500286901606e+01
2.250000000000000000e+01	3.095925649068173516e+04	4.892192170150836006e+01
2.300000000000000000e+01	2.866697776398607311e+04	4.681800162833382473e+01
2.350000000000000000e+01	2.658837636393644425e+04	4.484694044615410036e+01
2.400000000000000000e+01	2.469960395494920158e+04	4.299778274546630996e+01
2.450000000000000000e+01	2.297989501984668459e+04	4.126067948586187839e+01
2.500000000000000000e+01	2.141111604397058181e+04	3.962675657822175168e+01
2.550000000000000000e+01	1.997738797985495330e+04	3.808800132470372546e+01
2.600000000000000000e+01	1.866476893001587450e+04	3.663716399613698371e+01
2.650000000000000000e+01	2.179951544592425227e+06	5.497090963249640772e+05
2.700000000000000000e+01	2.061072029824508820e+06	5.395292982448721305e+05
2.750000000000000000e+01	1.950681569372120313e+06	5.297196746404198930e+05
2.800000000000000000e+01	1.848035749044998782e+06	5.202603947361266473e+05
2.850000000000000000e+01	1.752467134850056143e+06	5.111330193898789003e+05
2.900000000000000000e+01	1.663376143467784859e+06	5.023203811245360994e+05
2.950000000000000000e+01	1.580223129454747075e+06	4.938064763597134734e+05
3.000000000000000000e+01	1.502521509742067195e+06	4.855763684203848825e+05
3.050000000000000000e+01	1.429831774925155099e+06	4.776161000856244355e+05
3.100000000000000000e+01	1.361756260717525845e+06	4.699126146003724425e+05
3.150000000000000000e+01	1.297934572717475006e+06	4.624536842098904308e+05
3.200000000000000000e+01	1.238039574067255016e+06	4.552278453941108892e+05
3.250000000000000000e+01	1.181773859278239543e+06	4.482243400803552358e+05
3.300000000000000000e+01	1.128866648942199303e+06	4.414330622003499302e+05
3.350000000000000000e+01	1.079071049644691870e+06	4.348445090331804822e+05
3.400000000000000000e+01	1.032161631463357597e+06	4.284497368415160454e+05
3.450000000000000000e+01	9.879322822336270474e+05	4.222403203655520338e+05
3.500000000000000000e+01	9.461943035110393539e+05	4.162083157889013528e+05
3.550000000000000000e+01	9.067747180284666829e+05	4.103462268341280869e+05
3.600000000000000000e+01	8.695147625822146656e+05	4.046469736836540978e+05
3.650000000000000000e+01	8.342685438021640293e+05	3.991038644551108591e+05
3.700000000000000000e+01	8.009018372660221066e+05	3.937105689895013347e+05
3.750000000000000000e+01	7.692910129879384767e+05	3.884610947363079758e+05
3.800000000000000000e+01	7.393220725148674101e+05	3.833497645424091606e+05
3.850000000000000000e+01	7.108897847566036507e+05	3.783711961717284867e+05
3.900000000000000000e+01	6.838969093045367626e+05	3.735202834002961172e+05
3.950000000000000000e+01	6.582534973993669264e+05	3.687921785471277544e+05
4.000000000000000000e+01	6.338762619224346709e+05	3.641822763152886764e+05
4.050000000000000000e+01	6.106880088368913857e+05	3.596861988299147342e+05
4.100000000000000000e+01	5.886171234171851538e+05	3.552997817710133386e+05
4.150000000000000000e+01	5.675971053981404984e+05	3.510190615087120095e+05
4.200000000000000000e+01	5.475661478651848156e+05	3.468402631574177649e+05
4.250000000000000000e+01	5.284667553092390299e+05	3.427597894732128480e+05
4.300000000000000000e+01	5.102453967957011191e+05	3.387742105258499505e+05
4.350000000000000000e+01	4.928521906571215950e+05	3.348802540830240468e+05
4.400000000000000000e+01	4.762406175224904437e+05	3.310747966502624331e+05
